frame,raw_left_ankle,raw_right_ankle,smooth_left,smooth_right,vel_left,vel_right,airborne_threshold,airborne_new,airborne_old
145,0.708035,0.687390,0.235874,0.229512,0.000232,0.006199,0.6670482850074768,0,0
146,0.707292,0.691062,0.235608,0.229947,-0.007942,0.013010,0.6670482850074768,0,0
147,0.705145,0.691069,0.234725,0.230316,-0.026429,0.011043,0.6670482850074768,0,0
148,0.700085,0.690712,0.233007,0.229122,-0.051380,-0.035714,0.6670482850074768,0,0
149,0.691835,0.680318,0.230588,0.227013,-0.072384,-0.063103,0.6670482850074768,0,0
150,0.683369,0.672085,0.227344,0.223316,-0.097033,-0.110607,0.6670482850074768,0,0
151,0.670894,0.657438,0.223549,0.219567,-0.113530,-0.112158,0.6670482850074768,1,0
152,0.657681,0.646577,0.219388,0.215399,-0.124485,-0.124678,0.6670482850074768,1,0
153,0.645919,0.634577,0.215106,0.211443,-0.128103,-0.118341,0.6670482850074768,1,0
154,0.632356,0.621837,0.210796,0.205047,-0.128942,-0.191366,0.6670482850074768,1,0
155,0.618891,0.589007,0.206455,0.200058,-0.129863,-0.149253,0.6670482850074768,1,0
156,0.606852,0.589677,0.202127,0.194899,-0.129500,-0.154333,0.6670482850074768,1,0
157,0.593398,0.575408,0.197907,0.189772,-0.126248,-0.153379,0.6670482850074768,1,0
158,0.580911,0.542865,0.193715,0.186333,-0.125392,-0.102875,0.6670482850074768,1,0
159,0.569129,0.558728,0.190128,0.182925,-0.107309,-0.101968,0.6670482850074768,1,0
160,0.561115,0.544732,0.186836,0.182603,-0.098490,-0.009649,0.6670482850074768,1,0
161,0.551282,0.539962,0.183973,0.179834,-0.085648,-0.082829,0.6670482850074768,1,0
162,0.543364,0.533810,0.181202,0.178059,-0.082920,-0.053089,0.6670482850074768,1,0
163,0.536170,0.528761,0.178715,0.175793,-0.074402,-0.067814,0.6670482850074768,1,0
164,0.528899,0.519561,0.176093,0.173398,-0.078436,-0.071635,0.6670482850074768,1,0
165,0.519767,0.512260,0.173534,0.170178,-0.076550,-0.096340,0.6670482850074768,1,0
166,0.513141,0.499779,0.170823,0.166930,-0.081114,-0.097178,0.6670482850074768,1,0
167,0.504497,0.490327,0.169606,0.165018,-0.036392,-0.057198,0.6670482850074768,1,0
